,Date,resid
0,1901-01,-0.7715351857825006
1,1901-02,-3.8455990408233274
2,1901-03,-0.5371204341659772
3,1901-04,1.5938455595053398
4,1901-05,0.88991765579497
5,1901-06,0.9030444649620232
6,1901-07,0.3873852322725474
7,1901-08,-0.6416952796834721
8,1901-09,0.3659977870807358
9,1901-10,-0.2506508840944998
10,1901-11,-1.702471935863711
11,1901-12,0.35955581510533596
12,1902-01,0.9375896389557115
13,1902-02,-0.4199258513445802
14,1902-03,0.8058990147004992
15,1902-04,2.577641758605713
16,1902-05,-3.672209761163148
17,1902-06,-0.3235383810172652
18,1902-07,1.2798865633277234
19,1902-08,-0.7023522624667251
20,1902-09,-0.43557195164471846
21,1902-10,0.04400050281345452
22,1902-11,-1.0555554024449374
23,1902-12,-0.19896607222608947
24,1903-01,0.9598852257826322
25,1903-02,1.186079955701465
26,1903-03,0.9494364201462276
27,1903-04,-2.4816102689795985
28,1903-05,0.33381944429600435
29,1903-06,-1.2181679200303046
30,1903-07,-0.5515231228856554
31,1903-08,0.03884730360444422
32,1903-09,0.6341835536130382
33,1903-10,0.9452311333800182
34,1903-11,0.30882998178382043
35,1903-12,-0.6156003633456616
36,1904-01,-0.5170541814257523
37,1904-02,1.899969686048037
38,1904-03,-0.4079636575617703
39,1904-04,1.9992970399167276
40,1904-05,1.3078628993825179
41,1904-06,0.6499534236022557
42,1904-07,2.3048574313925863
43,1904-08,1.5539920127883537
44,1904-09,-2.1249612056140332
45,1904-10,-0.018721112862784953
46,1904-11,-0.5099387732780091
47,1904-12,0.003673401409037824
48,1905-01,-2.5485859512576496
49,1905-02,0.3370436338162268
50,1905-03,1.3625662913163663
51,1905-04,1.0062603439253626
52,1905-05,-1.2724209717431585
53,1905-06,0.7858171777761475
54,1905-07,2.9580330321478066
55,1905-08,-0.25539028066039404
56,1905-09,-0.2632677639009731
57,1905-10,-3.5881431031178184
58,1905-11,0.344040173792296
59,1905-12,-0.4827971015973711
60,1906-01,1.5871366919679717
61,1906-02,-1.7570331843982412
62,1906-03,-0.7020846537469263
63,1906-04,0.2856512495191736
64,1906-05,0.15133377792952313
65,1906-06,0.31829256733606504
66,1906-07,0.6306385509553155
67,1906-08,1.3597652686554311
68,1906-09,-0.004261735466867728
69,1906-10,1.6441731290704464
70,1906-11,0.7820914707562472
71,1906-12,-3.085712559090642
72,1907-01,-0.14944057242269831
73,1907-02,-2.701555899933798
74,1907-03,-0.6964261554105386
75,1907-04,-0.9260472373537574
76,1907-05,0.5508532928317065
77,1907-06,-0.4066005800000938
78,1907-07,-1.4973005571019251
79,1907-08,1.4205184965376751
80,1907-09,0.3814349925241254
81,1907-10,0.47658375610409287
82,1907-11,1.5582618026060608
83,1907-12,2.0173346307272713
84,1908-01,-2.8762692980142273
85,1908-02,0.5357799986216745
86,1908-03,-0.5852243424117836
87,1908-04,-1.4841306499533924
88,1908-05,2.2978234632066328
89,1908-06,1.3085081345535818
90,1908-07,-0.7673502887243339
91,1908-08,-0.7955596666215947
92,1908-09,-0.2990262643309508
93,1908-10,-0.2152722942047975
94,1908-11,-1.0719436147423078
95,1908-12,-0.19246831468487635
96,1909-01,-1.842635843163896
97,1909-02,-2.1084427348420274
98,1909-03,-1.9325296706448003
99,1909-04,1.9178407073938868
100,1909-05,0.10451597132039506
101,1909-06,-1.8049118224353078
102,1909-07,-1.5827843605429548
103,1909-08,0.3470866708087932
104,1909-09,-0.9331961209501658
105,1909-10,1.5899014726743395
106,1909-11,-0.9612407698660428
107,1909-12,2.738411356387259
108,1910-01,1.2818681145005788
109,1910-02,1.5292367188423837
110,1910-03,-0.6141131782714746
111,1910-04,-0.3701983813827033
112,1910-05,-1.0709652725454073
113,1910-06,0.48442338146340286
114,1910-07,-1.8421520080685907
115,1910-08,-0.3824898547042033
116,1910-09,-1.3499606077586566
117,1910-10,1.444149368078735
118,1910-11,-0.3176402881461903
119,1910-12,2.390099818626098
120,1911-01,-2.540109382007313
121,1911-02,1.003886199673941
122,1911-03,0.2479491607971469
123,1911-04,-0.4156109068168734
124,1911-05,0.5402970995203573
125,1911-06,-0.06565963037726924
126,1911-07,2.856776358498112
127,1911-08,2.719425556498961
128,1911-09,1.6567005629759055
129,1911-10,-0.4898290857905838
130,1911-11,2.19578537740186
131,1911-12,1.704674219363176
132,1912-01,0.8917080524235992
133,1912-02,2.7298430499378883
134,1912-03,1.5973621222376537
135,1912-04,-1.3935177345840575
136,1912-05,1.272123507723498
137,1912-06,-0.542127270360963
138,1912-07,-1.5065682928160287
139,1912-08,-2.5406274857814677
140,1912-09,-4.037057407400678
141,1912-10,-0.5105821768396637
142,1912-11,-1.4343916168953577
143,1912-12,0.1902790872231871
144,1913-01,2.4768068570124635
145,1913-02,-0.20696072887256153
146,1913-03,1.3362284394971766
147,1913-04,0.04257193553314881
148,1913-05,-0.09092186517749223
149,1913-06,-0.45228380458119827
150,1913-07,-2.588162935338956
151,1913-08,-0.24357975003444204
152,1913-09,-0.7742702194996319
153,1913-10,0.860446593609044
154,1913-11,2.661644351250053
155,1913-12,-0.4973625517367548
156,1914-01,-3.4162393781254288
157,1914-02,1.2426468666716148
158,1914-03,1.1275165239285516
159,1914-04,1.8033378662612092
160,1914-05,-1.8002120584129087
161,1914-06,-0.683470262234529
162,1914-07,-1.6356919115502977
163,1914-08,-0.33333289377725317
164,1914-09,-0.09026944280865734
165,1914-10,-0.5779017548432692
166,1914-11,-0.29922460764443315
167,1914-12,3.1341465030405598
168,1915-01,0.5249879934193185
169,1915-02,-0.48372329271199555
