Date,resid,f
1901-01,-0.7019707854432116,0.614874011249663
1901-02,-3.9623350464520537,1.7230493321663394
1901-03,-1.4212885534495996,5.234191779256051
1901-04,0.955240729343771,8.914759270656228
1901-05,0.8259149789192257,13.216020504951741
1901-06,1.0233266755711163,16.90333999109555
1901-07,0.37874408754483824,19.05996558987451
1901-08,-0.6247591109210191,18.237662336727475
1901-09,0.24815482848499215,14.82517850484834
1901-10,-0.4356069601345105,9.777542444005476
1901-11,-1.793977972662633,4.783977972662633
1901-12,-0.05216758585144787,1.6424901664966094
1902-01,0.5845139098292812,0.6251635095255575
1902-02,-0.3083388304422334,1.7333388304422337
1902-03,0.6748735611777317,5.244481277531945
1902-04,2.4182845644012083,8.925048768932124
1902-05,-3.116632583872798,13.226310003227637
1902-06,-0.88029615603811,16.91362948937144
1902-07,0.7200674924947599,19.0702550881504
1902-08,-0.5479518350033636,18.247951835003366
1902-09,-0.5388013364575723,14.835468003124236
1902-10,-0.4168642003458878,9.787831942281372
1902-11,-1.0909341376051946,4.794267470938528
1902-12,-0.5237474067079873,1.6527796647725037
1903-01,0.4968050567146771,0.635453007801452
1903-02,1.3242288141390148,1.7436283287181282
1903-03,1.0387776112889329,5.25477077580784
1903-04,-2.468671600541348,8.935338267208017
1903-05,0.008561788819045901,13.23659950150353
1903-06,-1.573918987647339,16.923918987647337
1903-07,-0.9676413606198473,19.080544586426296
1903-08,-0.13566068811797294,18.258241333279262
1903-09,0.1642424985998705,14.84575750140013
1903-10,0.9567172691201531,9.798121440557265
1903-11,0.4254430307855781,4.804556969214422
1903-12,-0.866294969500011,1.6630691630483982
1904-01,-0.5909037963999273,0.6457425060773465
1904-02,1.5909097592128731,1.7539178269940228
1904-03,-0.40376995150308836,5.2650602740837344
1904-04,2.124372234516086,8.945627765483913
1904-05,1.4305303550592825,13.246888999779426
1904-06,0.8591248474101043,16.934208485923232
1904-07,2.7349723669107107,19.09083408470219
1904-08,1.799211103928716,18.268530831555157
1904-09,-1.559380333009356,14.856046999676025
1904-10,-0.021314164639612443,9.80841093883316
1904-11,-0.8615131341569842,4.814846467490317
1904-12,0.14599617738538484,1.6733586613242928
1905-01,-2.4334513591919507,0.6560320043532408
1905-02,-0.3963501824127742,1.7642073252699173
1905-03,1.5149728082855303,5.275349772359629
1905-04,1.1940827362401922,8.955917263759806
1905-05,-1.1281462399908015,13.25717849805532
1905-06,0.8821686824675368,16.944497984199128
1905-07,2.8891989976670693,19.101123582978087
1905-08,0.3502119282334597,18.278820329831053
1905-09,0.216996835381412,14.866336497951918
1905-10,-3.779990759689703,9.818700437109054
1905-11,-0.1684692990995451,4.825135965766211
1905-12,-0.4481642886324453,1.6836481596001873
1906-01,1.2433559167257036,0.6663215026291354
1906-02,-1.2673539664029545,1.7744968235458116
1906-03,-0.9211231416032657,5.2856392706355235
1906-04,-0.12287342870236806,8.966206762035702
1906-05,0.3357578101203966,13.267467996331215
1906-06,0.2918791841916466,16.95478748247502
1906-07,0.5595546606815063,19.11141308125398
1906-08,1.6883095267317678,18.289109828106945
1906-09,0.186707337105517,14.876625996227814
1906-10,1.7452036130021469,9.82898993538495
1906-11,1.3045745359578955,4.835425464042106
1906-12,-2.8971634643276944,1.6939376578760814
1907-01,-0.470159388001804,0.6766110009050299
1907-02,-2.834786321821706,1.7847863218217062
1907-03,-1.3023803818146447,5.295928768911418
1907-04,-1.1031629269782632,8.976496260311595
1907-05,0.1577263763606318,13.277757494607108
1907-06,-0.4484103140842528,16.965076980750915
1907-07,-1.537831611787933,19.121702579529874
1907-08,0.9264071252300674,18.29939932638284
1907-09,0.4464178388296247,14.886915494503707
1907-10,0.615559276016576,9.839279433660844
1907-11,1.5042850376819974,4.8457149623180005
1907-12,2.282869618041573,1.7042271561519762
1908-01,-2.338513402406731,0.6869004991809244
1908-02,0.0704414212817095,1.7950758200976007
1908-03,-0.6707343962195695,5.306218267187312
1908-04,-1.5434524252541584,8.98678575858749
1908-05,1.9345336522782883,13.288046992883004
1908-06,1.5079668543065239,16.97536647902681
1908-07,-0.309411432644481,19.13199207780577
1908-08,-0.8613017278845376,18.309688824658735
1908-09,-0.5805383261129364,14.897204992779603
1908-10,-0.2044076416141607,9.849568931936739
1908-11,-1.2126711272605601,4.856004460593894
1908-12,-0.4919360092665799,1.7145166544278707
1909-01,-1.897189997456819,0.6971899974568188
1909-02,-2.623222461230638,1.805365318373495
1909-03,-2.5487658299793354,5.316507765463206
1909-04,1.2962580764699485,8.997075256863384
1909-05,0.033921573357233115,13.298336491158897
1909-06,-1.8123226439693703,16.985655977302706
1909-07,-2.0680880276945643,19.142281576081665
1909-08,-0.41030090357979887,18.31997832293463
1909-09,-1.1174944910554974,14.907494491055497
1909-10,1.1562706020454279,9.859858430212633
1909-11,-1.1096272922031223,4.866293958869789
1909-12,2.523580944070429,1.7248061527037652
1910-01,1.4344559881382546,0.7074794957327133
1910-02,1.6522023262077534,1.8156548166493895
1910-03,-0.21389403793264972,5.326797263739101
1910-04,-0.6573647551392785,9.00736475513928
1910-05,-1.2505614733057602,13.308625989434793
1910-06,0.24072119108807044,16.995945475578598
1910-07,-2.1138613969382014,19.152571074357557
1910-08,-0.7560742728234224,18.330267821210523
1910-09,-1.67778398933139,14.917783989331392
1910-10,0.8104972328017954,9.870147928488528
1910-11,-0.2032501238123512,4.876583457145683
1910-12,2.152001123213889,1.7350956509796593
1911-01,-2.3790593165892524,0.7177689940086076
1911-02,0.6561985422175731,1.825944314925284
1911-03,0.011300334759197561,5.337086762014995
