,Date,Years,Month,resid,estimation
0,1901-01,1901.0,1.0,-0.5269364227198571,0.4398396485263086
1,1901-02,1901.0,2.0,-3.943471131634639,1.7041854173489246
2,1901-03,1901.0,3.0,-1.3808828827156923,5.1937861085221435
3,1901-04,1901.0,4.0,0.8996968690251421,8.970303130974857
4,1901-05,1901.0,5.0,0.3951379860173194,13.646797497853647
5,1901-06,1901.0,6.0,0.9822347863720893,16.944431880294577
6,1901-07,1901.0,7.0,0.3872325437245401,19.051477133694807
7,1901-08,1901.0,8.0,-0.5934846829677198,18.206387908774175
8,1901-09,1901.0,9.0,0.03579517753590444,15.037538155797428
9,1901-10,1901.0,10.0,-0.03319719533834764,9.375132679209313
10,1901-11,1901.0,11.0,-1.7626272244504193,4.7526272244504195
11,1901-12,1901.0,12.0,0.0010149179030396471,1.5893076627421219
12,1902-01,1902.0,1.0,0.7571210465104674,0.45255637284437134
13,1902-02,1902.0,2.0,-0.2901435260194345,1.7151435260194348
14,1902-03,1902.0,3.0,0.7145815567152844,5.204773281994393
15,1902-04,1902.0,4.0,2.3634970615239457,8.979836271809386
16,1902-05,1902.0,5.0,-3.540763663961739,13.650441083316577
17,1902-06,1902.0,6.0,-0.9194774086574249,16.952810741990756
18,1902-07,1902.0,7.0,0.728295194109247,19.062027386535913
19,1902-08,1902.0,8.0,-0.5179598360428308,18.217959836042834
20,1902-09,1902.0,9.0,-0.7469258431752213,15.043592509841885
21,1902-10,1902.0,10.0,-0.021086685203639988,9.392054427139124
22,1902-11,1902.0,11.0,-1.0612313270861389,4.764564660419472
23,1902-12,1902.0,12.0,-0.4709673532957206,1.599999611360237
24,1903-01,1903.0,1.0,0.6669849673536951,0.46527309716243404
25,1903-02,1903.0,2.0,1.3417555081671981,1.726101634689945
26,1903-03,1903.0,3.0,1.0777879316301302,5.215760455466643
27,1903-04,1903.0,4.0,-2.522702745977246,8.989369412643915
28,1903-05,1903.0,5.0,-0.40892337845693305,13.65408466877951
29,1903-06,1903.0,6.0,-1.6111896036869346,16.961189603686933
30,1903-07,1903.0,7.0,-0.9596744135705677,19.072577639377016
31,1903-08,1903.0,8.0,-0.10695111815020653,18.229531763311495
32,1903-09,1903.0,9.0,-0.0396468638863432,15.049646863886343
33,1903-10,1903.0,10.0,1.3458625346084858,9.408976175068933
34,1903-11,1903.0,11.0,0.4534979036114759,4.7765020963885245
35,1903-12,1903.0,12.0,-0.8139173664299649,1.6106915599783522
36,1904-01,1904.0,1.0,-0.4231511118030775,0.4779898214804968
37,1904-02,1904.0,2.0,1.6077678428464408,1.737059743360455
38,1904-03,1904.0,3.0,-0.3654573063582456,5.226747628938892
39,1904-04,1904.0,4.0,2.0710974465215557,8.998902553478443
40,1904-05,1904.0,5.0,1.0196911005962672,13.657728254242441
41,1904-06,1904.0,6.0,0.8237648679502243,16.969568465383112
42,1904-07,1904.0,7.0,2.742678559394779,19.083127892218123
43,1904-08,1904.0,8.0,1.8266382449037195,18.241103690580154
44,1904-09,1904.0,9.0,-1.759034551264131,15.0557012179308
45,1904-10,1904.0,10.0,0.3611988511948052,9.425897922998743
46,1904-11,1904.0,11.0,-0.8351061990242443,4.788439532357577
47,1904-12,1904.0,12.0,0.19797133011321,1.6213835085964676
48,1905-01,1905.0,1.0,-2.268125900637269,0.4907065457985593
49,1905-02,1905.0,2.0,-0.38016070917382194,1.748017852030965
50,1905-03,1905.0,3.0,1.5525877782340176,5.237734802411142
51,1905-04,1905.0,4.0,1.1415643056870266,9.008435694312972
52,1905-05,1905.0,5.0,-1.5323395816408532,13.661371839705371
53,1905-06,1905.0,6.0,0.848719339587376,16.97794732707929
54,1905-07,1905.0,7.0,2.89664443558593,19.093678145059226
55,1905-08,1905.0,8.0,0.3763566402156968,18.252675617848816
56,1905-09,1905.0,9.0,0.021577761358072323,15.061755571975258
57,1905-10,1905.0,10.0,-3.4041099935092003,9.442819670928552
58,1905-11,1905.0,11.0,-0.14371030165996324,4.8003769683266295
59,1905-12,1905.0,12.0,-0.39659158624684077,1.6320754572145828
60,1906-01,1906.0,1.0,1.4062541492382166,0.5034232701166224
61,1906-02,1906.0,2.0,-1.251833103558618,1.7589759607014752
62,1906-03,1906.0,3.0,-0.8842058468511338,5.248721975883392
63,1906-04,1906.0,4.0,-0.17463550181416743,9.017968835147501
64,1906-05,1906.0,5.0,-0.06178961871669131,13.665015425168303
65,1906-06,1906.0,6.0,0.26034047789119796,16.986326188775468
66,1906-07,1906.0,7.0,0.5667393440351525,19.104228397900332
67,1906-08,1906.0,8.0,1.713171809721235,18.264247545117478
68,1906-09,1906.0,9.0,-0.004476592686385672,15.067809926019716
69,1906-10,1906.0,10.0,2.1144521295287344,9.459741418858362
70,1906-11,1906.0,11.0,1.3276855957043194,4.812314404295682
71,1906-12,1906.0,12.0,-2.845993212284311,1.642767405832698
72,1907-01,1907.0,1.0,-0.30968838153145906,0.516139994434685
73,1907-02,1907.0,2.0,-2.8199340693719854,1.7699340693719856
74,1907-03,1907.0,3.0,-1.2661607622588673,5.259709149355641
75,1907-04,1907.0,4.0,-1.1541686426486981,9.02750197598203
76,1907-05,1907.0,5.0,-0.23317513966349246,13.668659010631233
77,1907-06,1907.0,6.0,-0.4780383838049822,16.994705050471644
78,1907-07,1907.0,7.0,-1.5309076829994943,19.114778650741435
79,1907-08,1907.0,8.0,0.9499869792267717,18.275819472386136
80,1907-09,1907.0,9.0,0.25946905326915903,15.073864280064173
81,1907-10,1907.0,10.0,0.9781755428892485,9.476663166788171
