,Date,resid_arma
0,1901-01,-0.5961038173268165
1,1901-02,-3.8674882459662565
2,1901-03,-0.509347807080103
3,1901-04,1.5114830845523932
4,1901-05,0.4608955774203511
5,1901-06,0.9318578391608392
6,1901-07,0.4531920894872184
7,1901-08,-0.6233463683942826
8,1901-09,0.15934722221490444
9,1901-10,0.21620403860261483
10,1901-11,-1.7397821034620167
11,1901-12,0.38658146947766797
12,1902-01,1.1196775919880544
13,1902-02,-0.45410704405068497
14,1902-03,0.8267705832310754
15,1902-04,2.524099640037071
16,1902-05,-4.10930836359014
17,1902-06,-0.2807554905580971
18,1902-07,1.3382610504905965
19,1902-08,-0.6975948430212056
20,1902-09,-0.6622829857268078
21,1902-10,0.553147643091159
22,1902-11,-1.156408560879062
23,1902-12,-0.13652560611300396
24,1903-01,1.1364163971951409
25,1903-02,1.145275156923947
26,1903-03,0.9565357979359372
27,1903-04,-2.4930807867364426
28,1903-05,-0.13131360370828665
29,1903-06,-1.1552614448084755
30,1903-07,-0.5046767096003242
31,1903-08,0.03058380819639811
32,1903-09,0.44812561988696525
33,1903-10,1.3880667491216752
34,1903-11,0.24223419524880746
35,1903-12,-0.5582310615142168
36,1904-01,-0.35171319273874974
37,1904-02,1.8645575315980645
38,1904-03,-0.3816529117602649
39,1904-04,1.9495298603852615
40,1904-05,0.8686387982369077
41,1904-06,0.7165399199340765
42,1904-07,2.3178718597392898
43,1904-08,1.5845860520307224
44,1904-09,-2.344820569294101
45,1904-10,0.4501741080084896
46,1904-11,-0.5890739134775955
47,1904-12,0.0705436862861924
48,1905-01,-2.4248605560056626
49,1905-02,0.37101637749808014
50,1905-03,1.322476626695902
51,1905-04,0.9946902548295138
52,1905-05,-1.7261821694634774
53,1905-06,0.8872100573209494
54,1905-07,2.9220946282870464
55,1905-08,-0.17826811872796733
56,1905-09,-0.5228420552401383
57,1905-10,-3.09438187843011
58,1905-11,0.256021930030318
59,1905-12,-0.42118042943510203
60,1906-01,1.7152857804527684
61,1906-02,-1.7467418097043834
62,1906-03,-0.7115665361454924
63,1906-04,0.2567944309799994
64,1906-05,-0.2575733094497753
65,1906-06,0.3403444691378881
66,1906-07,0.6877139023196672
67,1906-08,1.3711560290001112
68,1906-09,-0.23421648435005354
69,1906-10,2.118788555742517
70,1906-11,0.6894264415141851
71,1906-12,-3.0421677516025807
72,1907-01,0.03719916952854524
73,1907-02,-2.7359771894587492
74,1907-03,-0.6979712945176197
75,1907-04,-0.9341921093742871
76,1907-05,0.12494803512541958
77,1907-06,-0.3840808806772837
78,1907-07,-1.4023980171201316
79,1907-08,1.373627124461513
80,1907-09,0.21364333699126797
81,1907-10,0.9060770792911044
82,1907-11,1.469002922843261
83,1907-12,2.080994217392688
84,1908-01,-2.7277867262027256
85,1908-02,0.5100453780264209
86,1908-03,-0.5548293287352977
87,1908-04,-1.5314496042192012
88,1908-05,1.8751062980340991
89,1908-06,1.4033270965423403
90,1908-07,-0.7985404805023015
91,1908-08,-0.7404609825931112
92,1908-09,-0.48176831843835427
93,1908-10,0.16963206117671353
94,1908-11,-1.1207469281613867
95,1908-12,-0.11575354261391285
96,1909-01,-1.7557592866969312
97,1909-02,-2.0601789479044137
98,1909-03,-1.9505568972522747
99,1909-04,1.8828454866031092
100,1909-05,-0.29992443043856415
101,1909-06,-1.72809302405044
102,1909-07,-1.596902191456795
103,1909-08,0.437195771383051
104,1909-09,-1.2041481535094234
105,1909-10,2.061268135832502
106,1909-11,-1.0638096164710442
107,1909-12,2.8208883344814666
108,1910-01,1.359952574625169
109,1910-02,1.6080367681233925
110,1910-03,-0.7295473607363432
111,1910-04,-0.2750924123325464
112,1910-05,-1.562500812719386
113,1910-06,0.6198308368796601
114,1910-07,-1.8975222791387665
115,1910-08,-0.2601873489502961
116,1910-09,-1.6697224460552977
117,1910-10,2.004070814805114
118,1910-11,-0.5427901902445436
119,1910-12,2.5765230733316353
120,1911-01,-2.5304589122930583
121,1911-02,1.139293433881638
122,1911-03,0.07743573930847175
123,1911-04,-0.2502274863105226
124,1911-05,-0.05351662552550113
125,1911-06,0.1931389854546237
126,1911-07,2.6970228315536486
127,1911-08,2.884938392269539
128,1911-09,1.3090077779199285
129,1911-10,0.08605684332068103
130,1911-11,1.945433545594735
131,1911-12,1.9277812402224825
132,1912-01,0.8576974878107733
133,1912-02,2.8644716085352764
134,1912-03,1.453893795099048
135,1912-04,-1.2821971413730402
136,1912-05,0.7424694119389604
137,1912-06,-0.317046974220437
138,1912-07,-1.6605919689778494
139,1912-08,-2.365114032929685
140,1912-09,-4.33458872304309
141,1912-10,-0.0020672266863852595
142,1912-11,-1.637894068487621
143,1912-12,0.40156392822600534
144,1913-01,2.4210706721126956
145,1913-02,-0.04266230256255027
146,1913-03,1.1777915740787699
147,1913-04,0.14943255208801604
148,1913-05,-0.5861645101673368
149,1913-06,-0.2661874320990947
150,1913-07,-2.7072329789158944
151,1913-08,-0.06707782248388594
152,1913-09,-1.1109546046017635
153,1913-10,1.3907651346253584
154,1913-11,2.4495648130695
155,1913-12,-0.3150668692655061
156,1914-01,-3.4332987538161452
157,1914-02,1.4240574989169588
158,1914-03,0.9267608441381447
159,1914-04,1.9371790429783513
160,1914-05,-2.3097132791298245
161,1914-06,-0.46958800450208105
162,1914-07,-1.7866613461766654
163,1914-08,-0.11225453011883885
164,1914-09,-0.49623185914110174
165,1914-10,0.03240586407941287
166,1914-11,-0.5787585879966448
167,1914-12,3.367767539393054
168,1915-01,0.46622367788503793
169,1915-02,-0.30354607320461596
