Mean,Median,Std,Years,Month,grid,Date
18.254838709677422,18.7,3.0004264929814473,1985.0,8.0,1985.5833333333333,1985-08
16.356666666666666,16.75,1.6321518128623589,1985.0,9.0,1985.6666666666667,1985-09
11.235483870967744,10.7,4.329707333226792,1985.0,10.0,1985.75,1985-10
2.923333333333333,0.95,4.381283336895814,1985.0,11.0,1985.8333333333333,1985-11
2.712903225806452,2.9,3.4489362548940474,1985.0,12.0,1985.9166666666667,1985-12
1.5032258064516129,1.3,2.755537923402948,1986.0,1.0,1986.0,1986-01
-1.8178571428571428,-1.5,3.195025482009154,1986.0,2.0,1986.0833333333333,1986-02
4.658064516129032,4.6,2.7923436027285264,1986.0,3.0,1986.1666666666667,1986-03
6.9333333333333345,7.15,3.1090893814120553,1986.0,4.0,1986.25,1986-04
15.396774193548389,15.8,2.9964961617382113,1986.0,5.0,1986.3333333333333,1986-05
17.186666666666664,18.9,4.830201918627485,1986.0,6.0,1986.4166666666667,1986-06
19.796774193548384,18.5,2.8591938107291415,1986.0,7.0,1986.5,1986-07
18.4258064516129,18.9,3.8647956170139603,1986.0,8.0,1986.5833333333333,1986-08
15.453333333333331,14.850000000000001,2.728992909270849,1986.0,9.0,1986.6666666666667,1986-09
11.83548387096774,13.6,3.27826665450883,1986.0,10.0,1986.75,1986-10
4.993333333333331,5.0,1.8403397987090981,1986.0,11.0,1986.8333333333333,1986-11
2.335483870967742,3.2,3.0831313505478777,1986.0,12.0,1986.9166666666667,1986-12
-1.8806451612903226,-2.4,4.342995844256106,1987.0,1.0,1987.0,1987-01
2.349999999999999,1.85,2.573583752927682,1987.0,2.0,1987.0833333333333,1987-02
3.551612903225807,2.4,3.433838568108285,1987.0,3.0,1987.1666666666667,1987-03
9.93,9.35,3.771869562962113,1987.0,4.0,1987.25,1987-04
11.058064516129035,10.2,3.217325410290188,1987.0,5.0,1987.3333333333333,1987-05
15.300000000000002,15.1,3.3407618375413133,1987.0,6.0,1987.4166666666667,1987-06
19.41290322580645,19.3,2.669050010207611,1987.0,7.0,1987.5,1987-07
18.806451612903224,18.9,2.7392134496202827,1987.0,8.0,1987.5833333333333,1987-08
17.536666666666665,18.15,3.486771388067144,1987.0,9.0,1987.6666666666667,1987-09
