,Mean
0,-1.514646738705083
1,-1.2034520907719786
2,-1.0021926870321851
3,0.15024119832129829
4,-0.9325093235868261
5,-0.43953198840486307
6,-0.922121741458319
7,-1.360043945313471
8,-1.7929473765646133
9,-0.7615470343885125
10,0.7048333094187119
11,-1.1278251950203722
12,-0.13569521114610264
13,-0.9675674132705105
14,-0.4347710132626556
15,-0.6979183636227689
16,-1.885569983877108
17,-0.47675415769867435
18,-0.9065403682655583
19,0.6699277696091525
20,1.0311765146225618
21,-0.9671345973484868
22,0.4053246913801549
23,-0.7820868697698826
24,-0.35859541098693826
25,0.29755352679694
26,0.028774839221869575
27,1.1481775378707462
28,-0.47588852585463537
29,0.8909441558877459
30,-0.6953261983193038
31,-0.45188734565426014
32,-0.665894715621863
33,0.8922426036538003
34,0.24301872062228158
35,0.2857740748864188
36,0.8251561357405526
37,0.03699834174026945
38,-0.47285881440048905
39,-1.2637897049503288
40,-1.0610556524270638
41,-0.07942914128337464
42,1.4778425461482525
43,0.23181990427927965
44,1.3934434413541548
45,0.8420359566993676
46,2.0889786280419487
47,0.653525701744585
48,1.4929911034189922
49,1.1666478982151536
50,0.6918488317580738
51,1.1947939412753077
52,0.8632439368783972
53,0.3594462036459229
54,0.881855021525307
55,-1.0449515889678176
56,0.41960761680687264
57,0.6377468415054727
58,1.6241343277913722
59,0.7881953115799967
60,2.1439462501385833
61,-1.6817136846052003
