,Mean,Median,Std,Years
0,9.18191780821918,9.1,7.951466907573529,1901.0
1,9.378904109589037,8.6,7.113013835828794,1902.0
2,9.50630136986302,8.7,6.918512255680668,1903.0
3,10.235792349726772,9.75,7.780298462461604,1904.0
4,9.5504109589041,8.7,7.876755418924086,1905.0
5,9.86246575342466,9.9,7.955217339227504,1906.0
6,9.556986301369855,9.1,7.212758591348014,1907.0
7,9.279781420765012,8.55,7.729656531119509,1908.0
8,9.005753424657529,10.1,7.31528918212769,1909.0
9,9.658630136986298,9.0,6.286350405046105,1910.0
10,10.58684931506849,10.1,7.916035484582278,1911.0
11,9.426775956284148,8.9,6.316106307855548,1912.0
12,10.054794520547949,10.2,6.238656543351615,1913.0
13,9.528219178082194,9.9,6.986324817622173,1914.0
14,9.865479452054782,9.4,6.992933057756485,1915.0
15,9.698907103825132,9.9,6.371602143166085,1916.0
16,8.94712328767123,7.4,8.429710910965499,1917.0
17,9.838904109589041,9.5,6.959152318603684,1918.0
18,9.566849315068488,8.4,7.488975207683465,1919.0
19,10.564754098360645,10.9,6.802871135983053,1920.0
20,10.793424657534242,10.6,7.616369051274668,1921.0
21,9.528493150684936,8.8,7.279133143209696,1922.0
22,10.397260273972593,10.1,7.13166928278327,1923.0
23,9.645628415300546,10.05,7.271028644505384,1924.0
24,9.913698630136984,9.9,6.997124901482654,1925.0
25,10.329041095890414,10.1,6.830412792294597,1926.0
26,10.158904109589034,10.1,6.959202848762948,1927.0
27,10.867486338797805,9.6,7.419220334814516,1928.0
28,9.839452054794519,9.9,8.589476037572382,1929.0
29,10.704657534246568,10.3,6.743320276960727,1930.0
30,9.700547945205471,9.7,7.3020168616884,1931.0
31,9.854644808743165,9.4,7.591546687360243,1932.0
32,9.71917808219178,10.7,7.993525153368836,1933.0
33,10.705479452054782,10.6,7.246433196334919,1934.0
34,10.294520547945202,9.6,7.555630503849629,1935.0
35,10.321584699453556,9.4,6.520971328789027,1936.0
36,10.663013698630131,10.0,7.180121881509278,1937.0
37,10.16410958904109,9.9,7.21545956202749,1938.0
38,9.841369863013696,10.0,6.882495976429826,1939.0
39,9.340710382513661,10.7,7.919032633481092,1940.0
40,9.469041095890406,9.0,7.34787480757987,1941.0
41,10.09041095890411,10.9,8.50178333560635,1942.0
42,11.076164383561636,11.2,7.159536526173126,1943.0
43,10.287431693989069,10.3,7.97158346721488,1944.0
44,11.02273972602739,10.9,8.297457782965411,1945.0
45,10.673698630136977,11.8,7.515951444608852,1946.0
46,11.463013698630137,11.7,8.530622068213486,1947.0
47,10.554371584699442,11.1,6.610644800055847,1948.0
48,11.085753424657529,11.1,7.774042098125605,1949.0
49,10.879178082191784,10.4,7.8509924047968385,1950.0
50,10.578630136986293,10.1,6.9341394078220855,1951.0
51,10.896994535519118,11.2,8.088731667173274,1952.0
52,10.687123287671223,11.2,7.653166671932912,1953.0
53,10.36821917808218,9.7,7.17256895723802,1954.0
54,10.698904109589035,10.8,7.069152062562875,1955.0
55,9.479234972677594,9.5,7.990076411209427,1956.0
56,10.40630136986302,10.4,6.820093032713024,1957.0
57,10.544383561643844,10.1,7.228161688212142,1958.0
58,11.168767123287672,10.9,7.098139352467518,1959.0
59,10.639617486338798,10.4,6.62654180486614,1960.0
60,11.49780821917806,11.6,6.705639386255698,1961.0
61,9.076164383561645,8.6,7.682612491736029,1962.0
62,8.47972602739726,9.8,8.226269562428874,1963.0
63,9.672131147540988,9.25,7.501491310674371,1964.0
64,8.831780821917798,9.4,6.812014947439312,1965.0
65,9.965479452054803,10.6,7.039965394109793,1966.0
66,9.667945205479446,9.9,7.170983762975444,1967.0
67,9.315573770491808,10.3,6.753491482494964,1968.0
68,9.156986301369852,10.2,7.386807866264594,1969.0
69,9.246301369863016,8.6,7.428514173171823,1970.0
70,9.354246575342462,10.1,7.972684464871048,1971.0
71,9.220765027322413,8.649999999999999,6.286589812284897,1972.0
72,9.174794520547941,8.4,7.5391228884693495,1973.0
73,9.780000000000003,8.9,6.183193278628697,1974.0
74,9.714794520547938,9.0,6.798723237763555,1975.0
75,9.758743169398905,10.0,7.376197747523427,1976.0
76,9.823561643835612,9.8,6.062190825890735,1977.0
77,9.065479452054795,8.8,6.321471573941747,1978.0
78,9.70904109589041,9.3,6.914918607814709,1979.0
79,8.943989071038256,8.75,6.684691522878566,1980.0
80,9.528767123287663,10.6,7.235031525027855,1981.0
81,10.360547945205479,9.0,6.681360798259111,1982.0
82,10.213972602739725,9.5,7.607485963940717,1983.0
83,9.454644808743167,8.75,6.742368004777677,1984.0
84,9.102191780821913,9.6,8.245354710609998,1985.0
85,9.804383561643839,9.1,7.788099012345867,1986.0
86,9.79835616438356,9.8,7.505386163696376,1987.0
87,10.426775956284157,10.6,6.653506150715734,1988.0
88,10.834520547945203,10.9,7.221561321147841,1989.0
89,10.984109589041097,11.0,6.8924245394428,1990.0
90,10.422191780821919,9.5,7.686410558304269,1991.0
91,10.833606557377047,9.95,7.4329581934148345,1992.0
92,10.351506849315077,10.5,7.123728278878907,1993.0
93,11.897534246575344,11.2,6.885282077589286,1994.0
94,10.889589041095887,11.5,7.083070754564385,1995.0
95,10.022677595628407,10.7,6.869559969947286,1996.0
96,10.966027397260273,10.4,6.869889457123271,1997.0
97,10.87780821917807,11.3,7.524971294636084,1998.0
98,11.17863013698629,11.4,7.423498722513206,1999.0
99,11.798907103825135,11.6,6.812775984173027,2000.0
100,11.010684931506853,11.5,7.074545830327497,2001.0
101,11.432054794520544,10.8,6.495077374972479,2002.0
102,11.731232876712323,11.7,8.77113835151024,2003.0
103,11.14836065573771,11.7,7.234660487796275,2004.0
104,10.749589041095888,11.5,8.258440976244938,2005.0
105,11.224931506849321,12.0,7.985309850946642,2006.0
106,11.213150684931502,11.6,6.865584837128088,2007.0
107,10.82295081967213,10.6,7.035695137179276,2008.0
108,11.254520547945207,12.1,7.783023410577927,2009.0
109,10.106575342465757,10.5,7.965513617811732,2010.0
110,11.465753424657537,11.9,6.8735961439426,2011.0
111,10.96885245901639,11.45,7.764210995212071,2012.0
112,10.246027397260272,10.8,7.7656588951724155,2013.0
113,11.735068493150688,12.4,5.9661571013913655,2014.0
114,11.635342465753435,11.0,7.663466578906787,2015.0
115,11.095901639344257,10.25,7.132699896599901,2016.0
116,11.328767123287676,11.1,7.830818930622191,2017.0
117,12.307671232876716,12.4,7.486393980860894,2018.0
118,11.821095890410959,11.2,7.276030866437498,2019.0
119,12.161748633879785,11.6,7.0162833077385205,2020.0
120,10.896261682242994,10.0,6.929394762962071,2021.0
