,Mean
62,-2.0275045677911208
63,-0.7837147612821285
64,-1.6602785660238006
65,-0.47772510663606327
66,-0.7880810894526707
67,-1.1556373767736638
68,-1.3210589052472863
69,-1.227894954604354
70,-1.1152980326616921
71,-1.2545317427319453
72,-1.3024832709166354
73,-0.6711974826644606
74,-0.739212882213595
75,-0.6933703405075631
76,-0.6257586233018176
77,-1.4165090878078097
78,-0.7452142409973359
79,-1.5432348917686738
80,-0.9332568162213928
81,-0.06563180348549506
82,-0.21852356297617442
83,-1.010573306823333
84,-1.3782147031877199
85,-0.6457631525809643
86,-0.6520502903544184
87,0.003450191965091033
88,0.42876584869931555
89,0.584801177076722
90,-0.0013315308024973874
91,0.42781247125006333
92,-0.07506251014565765
93,1.5375883287438685
94,0.4862074256294568
95,-0.41806210559199564
96,0.5659397637563746
97,0.4739189290722526
98,0.7877042597652744
99,1.4347110157187195
100,0.6125217390778388
101,1.05204982523982
102,1.3641204819946235
103,0.7561303663046675
104,0.340174361891632
105,0.8360009090249644
106,0.8237124124677584
107,0.4166975425112364
108,0.8668650399127972
109,-0.3305489269394338
110,1.0872006409731976
111,0.5688865667813333
112,-0.18508742118101695
113,1.3681213878504643
114,1.26409783559887
115,0.7014107171288908
116,0.944311146122098
117,1.96539947632807
118,1.4578559906169526
119,1.8131885891844413
120,0.49316761298613615
