EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105115 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
105115,19810802,10202,    0
105115,19810803,10260,    0
105115,19810804,10245,    0
105115,19810805,10181,    0
105115,19810806,10153,    0
105115,19810807,10162,    0
105115,19810808,10160,    0
105115,19810809,10177,    0
105115,19810810,10175,    0
105115,19810811,10156,    0
105115,19810812,10156,    0
105115,19810813,10168,    0
105115,19810814,10179,    0
105115,19810815,10178,    0
105115,19810816,10150,    0
105115,19810817,10183,    0
105115,19810818,10208,    0
105115,19810819,10172,    0
105115,19810820,10122,    0
105115,19810821,10147,    0
105115,19810822,10190,    0
105115,19810823,10207,    0
105115,19810824,10233,    0
105115,19810825,10253,    0
105115,19810826,10269,    0
105115,19810827,10239,    0
105115,19810828,10183,    0
105115,19810829,10144,    0
105115,19810830,10146,    0
105115,19810831,10153,    0
105115,19810901,10176,    0
105115,19810902,10203,    0
105115,19810903,10214,    0
105115,19810904,10212,    0
105115,19810905,10220,    0
105115,19810906,10225,    0
105115,19810907,10216,    0
105115,19810908,10222,    0
105115,19810909,10212,    0
105115,19810910,10158,    0
105115,19810911,10164,    0
105115,19810912,10165,    0
105115,19810913,10204,    0
105115,19810914,10233,    0
105115,19810915,10223,    0
105115,19810916,10205,    0
105115,19810917,10180,    0
105115,19810918,10148,    0
105115,19810919,10140,    0
105115,19810920,10107,    0
105115,19810921,10112,    0
105115,19810922,10119,    0
105115,19810923,10194,    0
105115,19810924,10137,    0
105115,19810925,10088,    0
105115,19810926,10056,    0
105115,19810927,10103,    0
105115,19810928,10127,    0
105115,19810929,10200,    0
105115,19810930,10200,    0
105115,19811001,10109,    0
105115,19811002,10045,    0
105115,19811003,10027,    0
105115,19811004,10108,    0
105115,19811005,10124,    0
105115,19811006,10130,    0
105115,19811007,10237,    0
105115,19811008,10253,    0
105115,19811009,10190,    0
105115,19811010,10171,    0
105115,19811011,10138,    0
105115,19811012,10091,    0
105115,19811013,10173,    0
105115,19811014,10168,    0
105115,19811015,10129,    0
105115,19811016,10189,    0
105115,19811017,10204,    0
105115,19811018,10210,    0
105115,19811019,10231,    0
105115,19811020,10148,    0
105115,19811021,10113,    0
105115,19811022,10143,    0
105115,19811023,10195,    0
105115,19811024,10226,    0
105115,19811025,10152,    0
105115,19811026,10108,    0
105115,19811027,10173,    0
105115,19811028,10249,    0
105115,19811029,10239,    0
105115,19811030,10196,    0
105115,19811031,10249,    0
105115,19811101,10301,    0
105115,19811102,10306,    0
105115,19811103,10289,    0
105115,19811104,10284,    0
105115,19811105,10266,    0
105115,19811106,10277,    0
105115,19811107,10271,    0
105115,19811108,10261,    0
105115,19811109,10279,    0
105115,19811110,10317,    0
105115,19811111,10298,    0
105115,19811112,10255,    0
105115,19811113,10300,    0
105115,19811114,10328,    0
105115,19811115,10280,    0
105115,19811116,10284,    0
105115,19811117,10279,    0
105115,19811118,10257,    0
105115,19811119,10268,    0
105115,19811120,10305,    0
105115,19811121,10334,    0
105115,19811122,10321,    0
105115,19811123,10264,    0
105115,19811124,10246,    0
105115,19811125,10302,    0
105115,19811126,10333,    0
105115,19811127,10253,    0
105115,19811128,10162,    0
105115,19811129,10198,    0
105115,19811130,10206,    0
105115,19811201,10194,    0
105115,19811202,10277,    0
105115,19811203,10313,    0
105115,19811204,10249,    0
105115,19811205,10184,    0
105115,19811206,10098,    0
105115,19811207,10040,    0
105115,19811208, 9981,    0
105115,19811209,10030,    0
105115,19811210,10084,    0
105115,19811211, 9998,    0
105115,19811212,10021,    0
105115,19811213,10074,    0
105115,19811214,10011,    0
105115,19811215,10031,    0
105115,19811216, 9997,    0
105115,19811217,10083,    0
105115,19811218, 9963,    0
105115,19811219,10158,    0
105115,19811220,10192,    0
105115,19811221,10034,    0
105115,19811222, 9973,    0
105115,19811223, 9991,    0
105115,19811224, 9965,    0
105115,19811225,10157,    0
105115,19811226,10180,    0
105115,19811227,10111,    0
105115,19811228,10020,    0
105115,19811229, 9947,    0
105115,19811230, 9959,    0
105115,19811231,10005,    0
105115,19820101,10113,    0
105115,19820102,10249,    0
105115,19820103,10219,    0
105115,19820104,10204,    0
105115,19820105,10179,    0
105115,19820106,10130,    0
105115,19820107,10223,    0
105115,19820108,10194,    0
105115,19820109,10131,    0
105115,19820110,10078,    0
105115,19820111,10039,    0
105115,19820112,10140,    0
105115,19820113,10275,    0
105115,19820114,10283,    0
105115,19820115,10280,    0
105115,19820116,10260,    0
105115,19820117,10287,    0
105115,19820118,10302,    0
105115,19820119,10287,    0
105115,19820120,10286,    0
105115,19820121,10288,    0
105115,19820122,10258,    0
105115,19820123,10237,    0
105115,19820124,10236,    0
105115,19820125,10240,    0
105115,19820126,10170,    0
105115,19820127,10090,    0
105115,19820128,10253,    0
105115,19820129,10290,    0
105115,19820130,10277,    0
105115,19820131,10288,    0
105115,19820201,10267,    0
105115,19820202,10262,    0
105115,19820203,10271,    0
105115,19820204,10317,    0
105115,19820205,10341,    0
105115,19820206,10299,    0
105115,19820207,10251,    0
105115,19820208,10248,    0
105115,19820209,10284,    0
105115,19820210,10287,    0
105115,19820211,10282,    0
105115,19820212,10270,    0
105115,19820213,10205,    0
105115,19820214,10181,    0
105115,19820215,10142,    0
105115,19820216,10168,    0
105115,19820217,10183,    0
105115,19820218,10221,    0
105115,19820219,10214,    0
105115,19820220,10221,    0
105115,19820221,10212,    0
105115,19820222,10129,    0
105115,19820223,10095,    0
105115,19820224,10123,    0
105115,19820225,10077,    0
105115,19820226,10145,    0
105115,19820227,10193,    0
105115,19820228,10230,    0
105115,19820301,10202,    0
105115,19820302,10223,    0
105115,19820303,10230,    0
105115,19820304,10198,    0
105115,19820305,10275,    0
105115,19820306,10281,    0
105115,19820307,10226,    0
105115,19820308,10215,    0
105115,19820309,10204,    0
105115,19820310,10147,    0
105115,19820311,10193,    0
105115,19820312,10189,    0
105115,19820313,10235,    0
105115,19820314,10289,    0
105115,19820315,10220,    0
105115,19820316,10146,    0
105115,19820317,10126,    0
105115,19820318,10142,    0
105115,19820319,10157,    0
105115,19820320,10127,    0
105115,19820321,10208,    0
105115,19820322,10243,    0
105115,19820323,10263,    0
105115,19820324,10293,    0
105115,19820325,10308,    0
105115,19820326,10272,    0
105115,19820327,10192,    0
105115,19820328,10143,    0
105115,19820329,10099,    0
105115,19820330,10052,    0
105115,19820331,10091,    0
105115,19820401,10160,    0
105115,19820402,10192,    0
105115,19820403,10208,    0
105115,19820404,10182,    0
105115,19820405,10172,    0
105115,19820406,10208,    0
105115,19820407,10215,    0
105115,19820408,10157,    0
105115,19820409,10180,    0
105115,19820410,10174,    0
105115,19820411,10154,    0
105115,19820412,10128,    0
