EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105109 105114 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105109,19010803,    3,    0
105109,19010804,    3,    0
105109,19010805,    5,    0
105109,19010806,    8,    0
105109,19010807,    3,    0
105109,19010808,    0,    0
105109,19010809,    0,    0
105109,19010810,    2,    0
105109,19010811,    5,    0
105109,19010812,    8,    0
105109,19010813,    3,    0
105109,19010814,    3,    0
105109,19010815,    8,    0
105109,19010816,    5,    0
105109,19010817,    1,    0
105109,19010818,    0,    0
105109,19010819,    1,    0
105109,19010820,    1,    0
105109,19010821,    6,    0
105109,19010822,    3,    0
105109,19010823,    0,    0
105109,19010824,    3,    0
105109,19010825,    6,    0
105109,19010826,    8,    0
105109,19010827,    5,    0
105109,19010828,    8,    0
105109,19010829,    3,    0
105109,19010830,    0,    0
105109,19010831,    2,    0
105109,19010901,    4,    0
105109,19010902,    7,    0
105109,19010903,    6,    0
105109,19010904,    7,    0
105109,19010905,    2,    0
105109,19010906,    6,    0
105109,19010907,    2,    0
105109,19010908,    1,    0
105109,19010909,    2,    0
105109,19010910,    6,    0
105109,19010911,    8,    0
105109,19010912,    8,    0
105109,19010913,    8,    0
105109,19010914,    8,    0
105109,19010915,    6,    0
105109,19010916,    1,    0
105109,19010917,    7,    0
105109,19010918,    5,    0
105109,19010919,    1,    0
105109,19010920,    5,    0
105109,19010921,    8,    0
105109,19010922,    4,    0
105109,19010923,    8,    0
105109,19010924,    8,    0
105109,19010925,    8,    0
105109,19010926,    8,    0
105109,19010927,    4,    0
105109,19010928,    3,    0
105109,19010929,    1,    0
105109,19010930,    3,    0
105109,19011001,    8,    0
105109,19011002,    8,    0
105109,19011003,    8,    0
105109,19011004,    8,    0
105109,19011005,    7,    0
105109,19011006,    7,    0
105109,19011007,    6,    0
105109,19011008,    6,    0
105109,19011009,    6,    0
105109,19011010,    1,    0
105109,19011011,    0,    0
105109,19011012,    3,    0
105109,19011013,    8,    0
105109,19011014,    8,    0
105109,19011015,    8,    0
105109,19011016,    5,    0
105109,19011017,    8,    0
105109,19011018,    6,    0
105109,19011019,    7,    0
105109,19011020,    8,    0
105109,19011021,    5,    0
105109,19011022,    8,    0
105109,19011023,    7,    0
105109,19011024,    1,    0
105109,19011025,    3,    0
105109,19011026,    8,    0
105109,19011027,    8,    0
