EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
105112,19310803,    0,    0
105112,19310804,    0,    0
105112,19310805,    0,    0
105112,19310806,    0,    0
105112,19310807,    0,    0
105112,19310808,    0,    0
105112,19310809,    0,    0
105112,19310810,    0,    0
105112,19310811,    0,    0
105112,19310812,    0,    0
105112,19310813,    0,    0
105112,19310814,    0,    0
105112,19310815,    0,    0
105112,19310816,    0,    0
105112,19310817,    0,    0
105112,19310818,    0,    0
105112,19310819,    0,    0
105112,19310820,    0,    0
105112,19310821,    0,    0
105112,19310822,    0,    0
105112,19310823,    0,    0
105112,19310824,    0,    0
105112,19310825,    0,    0
105112,19310826,    0,    0
105112,19310827,    0,    0
105112,19310828,    0,    0
105112,19310829,    0,    0
105112,19310830,    0,    0
105112,19310831,    0,    0
105112,19310901,    0,    0
105112,19310902,    0,    0
105112,19310903,    0,    0
105112,19310904,    0,    0
105112,19310905,    0,    0
105112,19310906,    0,    0
105112,19310907,    0,    0
105112,19310908,    0,    0
105112,19310909,    0,    0
105112,19310910,    0,    0
105112,19310911,    0,    0
105112,19310912,    0,    0
105112,19310913,    0,    0
105112,19310914,    0,    0
105112,19310915,    0,    0
105112,19310916,    0,    0
105112,19310917,    0,    0
105112,19310918,    0,    0
105112,19310919,    0,    0
105112,19310920,    0,    0
105112,19310921,    0,    0
105112,19310922,    0,    0
105112,19310923,    0,    0
105112,19310924,    0,    0
105112,19310925,    0,    0
105112,19310926,    0,    0
105112,19310927,    0,    0
105112,19310928,    0,    0
105112,19310929,    0,    0
105112,19310930,    0,    0
105112,19311001,    0,    0
105112,19311002,    0,    0
105112,19311003,    0,    0
105112,19311004,    0,    0
105112,19311005,    0,    0
105112,19311006,    0,    0
105112,19311007,    0,    0
105112,19311008,    0,    0
105112,19311009,    0,    0
105112,19311010,    0,    0
105112,19311011,    0,    0
105112,19311012,    0,    0
105112,19311013,    0,    0
105112,19311014,    0,    0
105112,19311015,    0,    0
105112,19311016,    0,    0
105112,19311017,    0,    0
105112,19311018,    0,    0
105112,19311019,    0,    0
105112,19311020,    0,    0
